,data_solicitacao,data_venda,data_pagto,valor_venda,pol_comissao,valor_comissao,estado_cliente,estado_vendedor,produto,vendedor_id
0,13/01/2021,12/01/2021,01/02/2021,none,un.,750.0,SC,PR,A,V_1
1,14/02/2021,16/02/2021,01/03/2021,none,un.,750.0,SC,PR,A,V_1
2,17/02/2021,18/02/2021,01/03/2021,none,un.,750.0,none,PR,A,V_23
3,21/03/2021,25/03/2021,01/04/2021,none,un.,750.0,none,PR,A,V_23
4,29/01/2021,31/01/2021,01/03/2021,none,un.,750.0,none,PR,A,V_30
5,02/03/2021,07/03/2021,01/04/2021,none,un.,750.0,none,PR,A,V_30
6,15/01/2021,14/01/2021,01/02/2021,none,un.,750.0,none,RJ,A,V_20
7,16/02/2021,18/02/2021,01/03/2021,none,un.,750.0,none,RJ,A,V_20
8,02/02/2021,31/01/2021,01/03/2021,none,un.,750.0,none,RJ,A,V_22
9,06/03/2021,07/03/2021,01/04/2021,none,un.,750.0,none,RJ,A,V_22
10,16/01/2021,14/01/2021,01/02/2021,none,un.,750.0,SP,RS,A,V_2
11,17/02/2021,18/02/2021,01/03/2021,none,un.,750.0,SP,RS,A,V_2
12,11/01/2021,13/01/2021,01/02/2021,none,un.,750.0,none,RS,A,V_25
13,12/02/2021,17/02/2021,01/03/2021,none,un.,750.0,none,RS,A,V_25
14,17/01/2021,20/01/2021,01/02/2021,none,un.,750.0,none,SC,A,V_24
15,18/02/2021,24/02/2021,01/03/2021,none,un.,750.0,none,SC,A,V_24
16,21/02/2021,20/02/2021,01/03/2021,none,un.,750.0,RS,SC,A,V_4
17,25/03/2021,27/03/2021,01/04/2021,none,un.,750.0,RS,SC,A,V_4
18,03/02/2021,14/02/2021,01/03/2021,none,un.,750.0,SP,SP,A,V_3
19,07/03/2021,21/03/2021,01/04/2021,none,un.,750.0,SP,SP,A,V_3
20,25/04/2021,12/07/2021,none,280000.0,1.0%,2800.0,MG,MG,B,V_6
21,24/03/2021,07/06/2021,none,336000.0,1.0%,3360.0,MG,MG,B,V_6
22,23/03/2021,30/06/2021,none,360000.0,1.0%,3600.0,none,RJ,B,V_47
23,19/02/2021,26/05/2021,10/06/2021,432000.0,1.0%,4320.0,none,PE,B,V_34
24,03/01/2021,23/04/2021,05/15/2021,620000.0,1.0%,6200.0,none,SP,B,V_46
25,02/12/2020,19/03/2021,04/15/2021,744000.0,1.0%,none,none,SP,B,V_45
26,06/01/2021,14/05/2021,06/15/2021,780000.0,1.0%,7800.0,PR,SC,B,V_5
27,15/02/2021,30/05/2021,10/06/2021,910000.0,1.0%,none,none,RS,B,V_25
28,05/12/2020,09/04/2021,05/15/2021,936000.0,1.0%,9360.0,PR,SC,B,V_5
29,14/01/2021,25/04/2021,10/05/2021,1092000.0,1.0%,10920.0,none,RS,B,V_25
30,09/03/2021,26/03/2021,10/04/2021,2000.0,2.6%,52.0,none,SP,C,V_19
31,05/02/2021,19/02/2021,10/03/2021,2400.0,2.6%,62.4,none,SP,C,V_19
32,07/05/2021,22/05/2021,10/06/2021,3200.0,2.6%,none,BA,SP,C,V_8
33,05/04/2021,17/04/2021,10/05/2021,3840.0,2.6%,99.84,BA,SP,C,V_8
34,02/02/2021,17/02/2021,10/03/2021,4500.0,2.6%,117.0,none,RJ,C,V_22
35,01/01/2021,13/01/2021,10/02/2021,5400.0,2.6%,140.4,none,RJ,C,V_22
36,18/04/2021,03/05/2021,10/06/2021,7250.0,2.6%,188.5,none,RS,C,V_26
37,19/06/2021,10/07/2021,10/08/2021,7400.0,2.6%,none,SP,RS,C,V_9
38,17/03/2021,29/03/2021,10/05/2021,8700.0,2.6%,226.2,none,RS,C,V_26
39,15/04/2021,30/04/2021,10/05/2021,8750.0,2.6%,227.5,BA,MG,C,V_7
40,18/05/2021,05/06/2021,10/07/2021,8880.0,2.6%,none,SP,RS,C,V_9
41,06/05/2021,19/05/2021,10/06/2021,9600.0,2.6%,249.6,none,SC,C,V_24
42,14/03/2021,26/03/2021,10/04/2021,10500.0,2.6%,273.0,BA,MG,C,V_7
43,04/04/2021,14/04/2021,10/05/2021,11520.0,2.6%,none,none,SC,C,V_24
44,08/03/2021,23/03/2021,10/04/2021,12000.0,2.6%,312.0,none,SP,C,V_19
45,04/02/2021,16/02/2021,10/03/2021,14400.0,2.6%,374.4,none,SP,C,V_19
46,02/06/2021,20/06/2021,none,14500.0,2.6%,none,none,SC,C,V_24
47,01/05/2021,16/05/2021,10/06/2021,17400.0,2.6%,452.4,none,SC,C,V_24
48,08/02/2021,12/02/2021,09/03/2021,none,un.,100.0,none,AL,F,V_32
49,13/02/2021,26/02/2021,09/03/2021,none,un.,100.0,none,MG,F,V_17
50,17/03/2021,02/04/2021,09/04/2021,none,un.,100.0,none,MG,F,V_17
51,25/01/2021,26/01/2021,09/02/2021,none,un.,100.0,none,MG,F,V_31
52,26/02/2021,02/03/2021,09/03/2021,none,un.,100.0,none,MG,F,V_31
53,27/01/2021,01/02/2021,09/02/2021,none,un.,100.0,none,PE,F,V_34
54,28/02/2021,08/03/2021,09/03/2021,none,un.,100.0,none,PE,F,V_34
55,27/02/2021,02/03/2021,09/03/2021,none,un.,100.0,none,RJ,F,V_20
56,12/03/2021,19/03/2021,09/04/2021,none,un.,100.0,none,RJ,F,V_20
57,31/03/2021,06/04/2021,09/04/2021,none,un.,100.0,none,RJ,F,V_20
58,21/01/2021,25/01/2021,09/02/2021,none,un.,100.0,none,RJ,F,V_21
59,23/01/2021,24/01/2021,09/02/2021,none,un.,100.0,none,RJ,F,V_21
60,12/02/2021,12/02/2021,09/03/2021,none,un.,100.0,none,RJ,F,V_21
61,22/02/2021,01/03/2021,09/03/2021,none,un.,100.0,none,RJ,F,V_21
62,24/02/2021,28/02/2021,09/03/2021,none,un.,100.0,none,RJ,F,V_21
63,16/03/2021,19/03/2021,09/04/2021,none,un.,100.0,none,RJ,F,V_21
64,26/01/2021,26/01/2021,09/02/2021,none,un.,100.0,BA,SP,F,V_16
65,27/02/2021,02/03/2021,09/03/2021,none,un.,100.0,BA,SP,F,V_16
66,03/03/2021,04/03/2021,09/03/2021,none,un.,100.0,SP,SP,F,V_18
67,04/04/2021,08/04/2021,09/04/2021,none,un.,100.0,SP,SP,F,V_18
68,12/02/2021,20/02/2021,20/04/2021,none,un.,450.0,none,AC,D,V_39
69,16/03/2021,27/03/2021,20/05/2021,none,un.,450.0,none,AC,D,V_39
70,21/03/2021,26/03/2021,20/05/2021,none,un.,450.0,none,MG,D,V_31
71,22/04/2021,30/04/2021,20/06/2021,none,un.,450.0,none,MG,D,V_31
72,17/04/2021,17/04/2021,20/06/2021,none,un.,450.0,none,RJ,D,V_21
73,19/05/2021,22/05/2021,none,none,un.,450.0,none,RJ,D,V_21
74,18/01/2021,01/02/2021,20/04/2021,none,un.,450.0,none,RJ,D,V_27
75,19/02/2021,08/03/2021,20/05/2021,none,un.,450.0,none,RJ,D,V_27
76,11/03/2021,21/03/2021,20/05/2021,none,un.,450.0,SP,RS,D,V_12
77,12/04/2021,25/04/2021,20/06/2021,none,un.,450.0,SP,RS,D,V_12
78,09/04/2021,20/04/2021,20/06/2021,none,un.,450.0,RS,RS,D,V_13
79,11/05/2021,25/05/2021,none,none,un.,450.0,RS,RS,D,V_13
80,07/01/2021,16/01/2021,20/03/2021,none,un.,450.0,none,RS,D,V_26
81,08/02/2021,20/02/2021,20/04/2021,none,un.,450.0,none,RS,D,V_26
82,31/01/2021,08/02/2021,20/04/2021,none,un.,450.0,SP,SC,D,V_11
83,04/03/2021,15/03/2021,20/05/2021,none,un.,450.0,SP,SC,D,V_11
84,01/01/2021,08/01/2021,20/03/2021,none,un.,450.0,SC,SP,D,V_10
85,02/02/2021,12/02/2021,20/04/2021,none,un.,450.0,SC,SP,D,V_10
86,17/02/2021,23/02/2021,20/04/2021,none,un.,450.0,none,SP,D,V_19
87,21/03/2021,30/03/2021,20/05/2021,none,un.,450.0,none,SP,D,V_19
88,10/04/2021,22/04/2021,02/05/2021,80000.0,4.0%,3200.0,none,AC,E,V_40
89,09/03/2021,18/03/2021,02/04/2021,96000.0,4.0%,3840.0,none,AC,E,V_40
90,05/02/2021,16/02/2021,02/03/2021,120000.0,4.0%,4800.0,none,AL,E,V_36
91,04/01/2021,12/01/2021,02/02/2021,144000.0,4.0%,5760.0,none,AL,E,V_36
92,16/03/2021,25/03/2021,02/04/2021,150000.0,4.0%,6000.0,PR,RS,E,V_14
93,13/06/2021,23/06/2021,none,150000.0,4.0%,6000.0,MG,SC,E,V_15
94,09/05/2021,20/05/2021,02/06/2021,180000.0,4.0%,7200.0,none,SC,E,V_41
95,12/02/2021,18/02/2021,02/03/2021,180000.0,4.0%,7200.0,PR,RS,E,V_14
96,12/05/2021,19/05/2021,02/06/2021,180000.0,4.0%,7200.0,MG,SC,E,V_15
97,07/04/2021,15/04/2021,02/05/2021,216000.0,4.0%,8640.0,none,RS,E,V_40
98,none,none,none,none,none,none,none,none,none,none
99,none,none,none,none,none,none,none,none,none,none
100,none,none,none,none,none,none,none,none,none,none
101,none,none,none,none,none,none,none,none,none,none
102,none,none,none,none,none,none,none,none,none,none
103,none,none,none,none,none,none,none,none,none,none
104,none,none,none,none,none,none,none,none,none,none
105,none,none,none,none,none,none,none,none,none,none
106,none,none,none,none,none,none,none,none,none,none
107,none,none,none,none,none,none,none,none,none,none
108,none,none,none,none,none,none,none,none,none,none
109,none,none,none,none,none,none,none,none,none,none
110,none,none,none,none,none,none,none,none,none,none
111,none,none,none,none,none,none,none,none,none,none
112,none,none,none,none,none,none,none,none,none,none
113,none,none,none,none,none,none,none,none,none,none
114,none,none,none,none,none,none,none,none,none,none
115,none,none,none,none,none,none,none,none,none,none
116,none,none,none,none,none,none,none,none,none,none
117,none,none,none,none,none,none,none,none,none,none
118,none,none,none,none,none,none,none,none,none,none
119,none,none,none,none,none,none,none,none,none,none
120,none,none,none,none,none,none,none,none,none,none
121,none,none,none,none,none,none,none,none,none,none
122,none,none,none,none,none,none,none,none,none,none
123,none,none,none,none,none,none,none,none,none,none
124,none,none,none,none,none,none,none,none,none,none
125,none,none,none,none,none,none,none,none,none,none
126,none,none,none,none,none,none,none,none,none,none
127,none,none,none,none,none,none,none,none,none,none
128,none,none,none,none,none,none,none,none,none,none
129,none,none,none,none,none,none,none,none,none,none
130,none,none,none,none,none,none,none,none,none,none
131,none,none,none,none,none,none,none,none,none,none
132,none,none,none,none,none,none,none,none,none,none
133,none,none,none,none,none,none,none,none,none,none
134,none,none,none,none,none,none,none,none,none,none
135,none,none,none,none,none,none,none,none,none,none
136,none,none,none,none,none,none,none,none,none,none
137,none,none,none,none,none,none,none,none,none,none
138,none,none,none,none,none,none,none,none,none,none
139,none,none,none,none,none,none,none,none,none,none
140,none,none,none,none,none,none,none,none,none,none
141,none,none,none,none,none,none,none,none,none,none
142,none,none,none,none,none,none,none,none,none,none
143,none,none,none,none,none,none,none,none,none,none
144,none,none,none,none,none,none,none,none,none,none
145,none,none,none,none,none,none,none,none,none,none
146,none,none,none,none,none,none,none,none,none,none
147,none,none,none,none,none,none,none,none,none,none
148,none,none,none,none,none,none,none,none,none,none
149,none,none,none,none,none,none,none,none,none,none
150,none,none,none,none,none,none,none,none,none,none
151,none,none,none,none,none,none,none,none,none,none
152,none,none,none,none,none,none,none,none,none,none
153,none,none,none,none,none,none,none,none,none,none
154,none,none,none,none,none,none,none,none,none,none
155,none,none,none,none,none,none,none,none,none,none
156,none,none,none,none,none,none,none,none,none,none
157,none,none,none,none,none,none,none,none,none,none
158,none,none,none,none,none,none,none,none,none,none
159,none,none,none,none,none,none,none,none,none,none
160,none,none,none,none,none,none,none,none,none,none
161,none,none,none,none,none,none,none,none,none,none
162,none,none,none,none,none,none,none,none,none,none
163,none,none,none,none,none,none,none,none,none,none
164,none,none,none,none,none,none,none,none,none,none
165,none,none,none,none,none,none,none,none,none,none
166,none,none,none,none,none,none,none,none,none,none
167,none,none,none,none,none,none,none,none,none,none
168,none,none,none,none,none,none,none,none,none,none
169,none,none,none,none,none,none,none,none,none,none
170,none,none,none,none,none,none,none,none,none,none
171,none,none,none,none,none,none,none,none,none,none
172,none,none,none,none,none,none,none,none,none,none
173,none,none,none,none,none,none,none,none,none,none
174,none,none,none,none,none,none,none,none,none,none
175,none,none,none,none,none,none,none,none,none,none
176,none,none,none,none,none,none,none,none,none,none
177,none,none,none,none,none,none,none,none,none,none
178,none,none,none,none,none,none,none,none,none,none
179,none,none,none,none,none,none,none,none,none,none
180,none,none,none,none,none,none,none,none,none,none
181,none,none,none,none,none,none,none,none,none,none
182,none,none,none,none,none,none,none,none,none,none
183,none,none,none,none,none,none,none,none,none,none
184,none,none,none,none,none,none,none,none,none,none
185,none,none,none,none,none,none,none,none,none,none
186,none,none,none,none,none,none,none,none,none,none
187,none,none,none,none,none,none,none,none,none,none
188,none,none,none,none,none,none,none,none,none,none
189,none,none,none,none,none,none,none,none,none,none
190,none,none,none,none,none,none,none,none,none,none
191,none,none,none,none,none,none,none,none,none,none
192,none,none,none,none,none,none,none,none,none,none
193,none,none,none,none,none,none,none,none,none,none
194,none,none,none,none,none,none,none,none,none,none
195,none,none,none,none,none,none,none,none,none,none
196,none,none,none,none,none,none,none,none,none,none
197,none,none,none,none,none,none,none,none,none,none
198,none,none,none,none,none,none,none,none,none,none
199,none,none,none,none,none,none,none,none,none,none
200,none,none,none,none,none,none,none,none,none,none
201,none,none,none,none,none,none,none,none,none,none
202,none,none,none,none,none,none,none,none,none,none
203,none,none,none,none,none,none,none,none,none,none
204,none,none,none,none,none,none,none,none,none,none
205,none,none,none,none,none,none,none,none,none,none
206,none,none,none,none,none,none,none,none,none,none
207,none,none,none,none,none,none,none,none,none,none
208,none,none,none,none,none,none,none,none,none,none
209,none,none,none,none,none,none,none,none,none,none
210,none,none,none,none,none,none,none,none,none,none
211,none,none,none,none,none,none,none,none,none,none
212,none,none,none,none,none,none,none,none,none,none
213,none,none,none,none,none,none,none,none,none,none
214,none,none,none,none,none,none,none,none,none,none
215,none,none,none,none,none,none,none,none,none,none
216,none,none,none,none,none,none,none,none,none,none
217,none,none,none,none,none,none,none,none,none,none
218,none,none,none,none,none,none,none,none,none,none
219,none,none,none,none,none,none,none,none,none,none
220,none,none,none,none,none,none,none,none,none,none
221,none,none,none,none,none,none,none,none,none,none
222,none,none,none,none,none,none,none,none,none,none
223,none,none,none,none,none,none,none,none,none,none
224,none,none,none,none,none,none,none,none,none,none
225,none,none,none,none,none,none,none,none,none,none
226,none,none,none,none,none,none,none,none,none,none
227,none,none,none,none,none,none,none,none,none,none
228,none,none,none,none,none,none,none,none,none,none
229,none,none,none,none,none,none,none,none,none,none
230,none,none,none,none,none,none,none,none,none,none
231,none,none,none,none,none,none,none,none,none,none
232,none,none,none,none,none,none,none,none,none,none
233,none,none,none,none,none,none,none,none,none,none
234,none,none,none,none,none,none,none,none,none,none
235,none,none,none,none,none,none,none,none,none,none
236,none,none,none,none,none,none,none,none,none,none
237,none,none,none,none,none,none,none,none,none,none
238,none,none,none,none,none,none,none,none,none,none
239,none,none,none,none,none,none,none,none,none,none
240,none,none,none,none,none,none,none,none,none,none
241,none,none,none,none,none,none,none,none,none,none
242,none,none,none,none,none,none,none,none,none,none
243,none,none,none,none,none,none,none,none,none,none
244,none,none,none,none,none,none,none,none,none,none
245,none,none,none,none,none,none,none,none,none,none
246,none,none,none,none,none,none,none,none,none,none
247,none,none,none,none,none,none,none,none,none,none
248,none,none,none,none,none,none,none,none,none,none
249,none,none,none,none,none,none,none,none,none,none
250,none,none,none,none,none,none,none,none,none,none
251,none,none,none,none,none,none,none,none,none,none
252,none,none,none,none,none,none,none,none,none,none
253,none,none,none,none,none,none,none,none,none,none
254,none,none,none,none,none,none,none,none,none,none
255,none,none,none,none,none,none,none,none,none,none
256,none,none,none,none,none,none,none,none,none,none
257,none,none,none,none,none,none,none,none,none,none
258,none,none,none,none,none,none,none,none,none,none
259,none,none,none,none,none,none,none,none,none,none
260,none,none,none,none,none,none,none,none,none,none
261,none,none,none,none,none,none,none,none,none,none
262,none,none,none,none,none,none,none,none,none,none
263,none,none,none,none,none,none,none,none,none,none
264,none,none,none,none,none,none,none,none,none,none
265,none,none,none,none,none,none,none,none,none,none
266,none,none,none,none,none,none,none,none,none,none
267,none,none,none,none,none,none,none,none,none,none
268,none,none,none,none,none,none,none,none,none,none
269,none,none,none,none,none,none,none,none,none,none
270,none,none,none,none,none,none,none,none,none,none
271,none,none,none,none,none,none,none,none,none,none
272,none,none,none,none,none,none,none,none,none,none
273,none,none,none,none,none,none,none,none,none,none
274,none,none,none,none,none,none,none,none,none,none
275,none,none,none,none,none,none,none,none,none,none
276,none,none,none,none,none,none,none,none,none,none
277,none,none,none,none,none,none,none,none,none,none
278,none,none,none,none,none,none,none,none,none,none
279,none,none,none,none,none,none,none,none,none,none
280,none,none,none,none,none,none,none,none,none,none
281,none,none,none,none,none,none,none,none,none,none
282,none,none,none,none,none,none,none,none,none,none
283,none,none,none,none,none,none,none,none,none,none
284,none,none,none,none,none,none,none,none,none,none
285,none,none,none,none,none,none,none,none,none,none
286,none,none,none,none,none,none,none,none,none,none
287,none,none,none,none,none,none,none,none,none,none
288,none,none,none,none,none,none,none,none,none,none
289,none,none,none,none,none,none,none,none,none,none
290,none,none,none,none,none,none,none,none,none,none
291,none,none,none,none,none,none,none,none,none,none
292,none,none,none,none,none,none,none,none,none,none
293,none,none,none,none,none,none,none,none,none,none
294,none,none,none,none,none,none,none,none,none,none
295,none,none,none,none,none,none,none,none,none,none
296,none,none,none,none,none,none,none,none,none,none
297,none,none,none,none,none,none,none,none,none,none
298,none,none,none,none,none,none,none,none,none,none
299,none,none,none,none,none,none,none,none,none,none
300,none,none,none,none,none,none,none,none,none,none
301,none,none,none,none,none,none,none,none,none,none
302,none,none,none,none,none,none,none,none,none,none
303,none,none,none,none,none,none,none,none,none,none
304,none,none,none,none,none,none,none,none,none,none
305,none,none,none,none,none,none,none,none,none,none
306,none,none,none,none,none,none,none,none,none,none
307,none,none,none,none,none,none,none,none,none,none
308,none,none,none,none,none,none,none,none,none,none
309,none,none,none,none,none,none,none,none,none,none
310,none,none,none,none,none,none,none,none,none,none
311,none,none,none,none,none,none,none,none,none,none
312,none,none,none,none,none,none,none,none,none,none
313,none,none,none,none,none,none,none,none,none,none
314,none,none,none,none,none,none,none,none,none,none
315,none,none,none,none,none,none,none,none,none,none
316,none,none,none,none,none,none,none,none,none,none
317,none,none,none,none,none,none,none,none,none,none
318,none,none,none,none,none,none,none,none,none,none
319,none,none,none,none,none,none,none,none,none,none
320,none,none,none,none,none,none,none,none,none,none
321,none,none,none,none,none,none,none,none,none,none
322,none,none,none,none,none,none,none,none,none,none
323,none,none,none,none,none,none,none,none,none,none
324,none,none,none,none,none,none,none,none,none,none
325,none,none,none,none,none,none,none,none,none,none
326,none,none,none,none,none,none,none,none,none,none
327,none,none,none,none,none,none,none,none,none,none
328,none,none,none,none,none,none,none,none,none,none
329,none,none,none,none,none,none,none,none,none,none
330,none,none,none,none,none,none,none,none,none,none
331,none,none,none,none,none,none,none,none,none,none
332,none,none,none,none,none,none,none,none,none,none
333,none,none,none,none,none,none,none,none,none,none
334,none,none,none,none,none,none,none,none,none,none
335,none,none,none,none,none,none,none,none,none,none
336,none,none,none,none,none,none,none,none,none,none
337,none,none,none,none,none,none,none,none,none,none
338,none,none,none,none,none,none,none,none,none,none
339,none,none,none,none,none,none,none,none,none,none
340,none,none,none,none,none,none,none,none,none,none
341,none,none,none,none,none,none,none,none,none,none
342,none,none,none,none,none,none,none,none,none,none
343,none,none,none,none,none,none,none,none,none,none
344,none,none,none,none,none,none,none,none,none,none
345,none,none,none,none,none,none,none,none,none,none
346,none,none,none,none,none,none,none,none,none,none
347,none,none,none,none,none,none,none,none,none,none
348,none,none,none,none,none,none,none,none,none,none
349,none,none,none,none,none,none,none,none,none,none
350,none,none,none,none,none,none,none,none,none,none
351,none,none,none,none,none,none,none,none,none,none
352,none,none,none,none,none,none,none,none,none,none
353,none,none,none,none,none,none,none,none,none,none
354,none,none,none,none,none,none,none,none,none,none
355,none,none,none,none,none,none,none,none,none,none
356,none,none,none,none,none,none,none,none,none,none
357,none,none,none,none,none,none,none,none,none,none
358,none,none,none,none,none,none,none,none,none,none
359,none,none,none,none,none,none,none,none,none,none
360,none,none,none,none,none,none,none,none,none,none
361,none,none,none,none,none,none,none,none,none,none
362,none,none,none,none,none,none,none,none,none,none
363,none,none,none,none,none,none,none,none,none,none
364,none,none,none,none,none,none,none,none,none,none
365,none,none,none,none,none,none,none,none,none,none
366,none,none,none,none,none,none,none,none,none,none
367,none,none,none,none,none,none,none,none,none,none
368,none,none,none,none,none,none,none,none,none,none
369,none,none,none,none,none,none,none,none,none,none
370,none,none,none,none,none,none,none,none,none,none
371,none,none,none,none,none,none,none,none,none,none
372,none,none,none,none,none,none,none,none,none,none
373,none,none,none,none,none,none,none,none,none,none
374,none,none,none,none,none,none,none,none,none,none
375,none,none,none,none,none,none,none,none,none,none
376,none,none,none,none,none,none,none,none,none,none
377,none,none,none,none,none,none,none,none,none,none
378,none,none,none,none,none,none,none,none,none,none
379,none,none,none,none,none,none,none,none,none,none
380,none,none,none,none,none,none,none,none,none,none
381,none,none,none,none,none,none,none,none,none,none
382,none,none,none,none,none,none,none,none,none,none
383,none,none,none,none,none,none,none,none,none,none
384,none,none,none,none,none,none,none,none,none,none
385,none,none,none,none,none,none,none,none,none,none
386,none,none,none,none,none,none,none,none,none,none
387,none,none,none,none,none,none,none,none,none,none
388,none,none,none,none,none,none,none,none,none,none
389,none,none,none,none,none,none,none,none,none,none
390,none,none,none,none,none,none,none,none,none,none
391,none,none,none,none,none,none,none,none,none,none
392,none,none,none,none,none,none,none,none,none,none
393,none,none,none,none,none,none,none,none,none,none
394,none,none,none,none,none,none,none,none,none,none
395,none,none,none,none,none,none,none,none,none,none
396,none,none,none,none,none,none,none,none,none,none
397,none,none,none,none,none,none,none,none,none,none
398,none,none,none,none,none,none,none,none,none,none
399,none,none,none,none,none,none,none,none,none,none
400,none,none,none,none,none,none,none,none,none,none
401,none,none,none,none,none,none,none,none,none,none
402,none,none,none,none,none,none,none,none,none,none
403,none,none,none,none,none,none,none,none,none,none
404,none,none,none,none,none,none,none,none,none,none
405,none,none,none,none,none,none,none,none,none,none
406,none,none,none,none,none,none,none,none,none,none
407,none,none,none,none,none,none,none,none,none,none
408,none,none,none,none,none,none,none,none,none,none
409,none,none,none,none,none,none,none,none,none,none
410,none,none,none,none,none,none,none,none,none,none
411,none,none,none,none,none,none,none,none,none,none
412,none,none,none,none,none,none,none,none,none,none
413,none,none,none,none,none,none,none,none,none,none
414,none,none,none,none,none,none,none,none,none,none
415,none,none,none,none,none,none,none,none,none,none
416,none,none,none,none,none,none,none,none,none,none
417,none,none,none,none,none,none,none,none,none,none
418,none,none,none,none,none,none,none,none,none,none
419,none,none,none,none,none,none,none,none,none,none
420,none,none,none,none,none,none,none,none,none,none
421,none,none,none,none,none,none,none,none,none,none
422,none,none,none,none,none,none,none,none,none,none
423,none,none,none,none,none,none,none,none,none,none
424,none,none,none,none,none,none,none,none,none,none
425,none,none,none,none,none,none,none,none,none,none
426,none,none,none,none,none,none,none,none,none,none
427,none,none,none,none,none,none,none,none,none,none
428,none,none,none,none,none,none,none,none,none,none
429,none,none,none,none,none,none,none,none,none,none
430,none,none,none,none,none,none,none,none,none,none
431,none,none,none,none,none,none,none,none,none,none
432,none,none,none,none,none,none,none,none,none,none
433,none,none,none,none,none,none,none,none,none,none
434,none,none,none,none,none,none,none,none,none,none
435,none,none,none,none,none,none,none,none,none,none
436,none,none,none,none,none,none,none,none,none,none
437,none,none,none,none,none,none,none,none,none,none
438,none,none,none,none,none,none,none,none,none,none
439,none,none,none,none,none,none,none,none,none,none
440,none,none,none,none,none,none,none,none,none,none
441,none,none,none,none,none,none,none,none,none,none
442,none,none,none,none,none,none,none,none,none,none
443,none,none,none,none,none,none,none,none,none,none
444,none,none,none,none,none,none,none,none,none,none
445,none,none,none,none,none,none,none,none,none,none
446,none,none,none,none,none,none,none,none,none,none
447,none,none,none,none,none,none,none,none,none,none
448,none,none,none,none,none,none,none,none,none,none
449,none,none,none,none,none,none,none,none,none,none
450,none,none,none,none,none,none,none,none,none,none
451,none,none,none,none,none,none,none,none,none,none
452,none,none,none,none,none,none,none,none,none,none
453,none,none,none,none,none,none,none,none,none,none
454,none,none,none,none,none,none,none,none,none,none
455,none,none,none,none,none,none,none,none,none,none
456,none,none,none,none,none,none,none,none,none,none
457,none,none,none,none,none,none,none,none,none,none
458,none,none,none,none,none,none,none,none,none,none
459,none,none,none,none,none,none,none,none,none,none
460,none,none,none,none,none,none,none,none,none,none
461,none,none,none,none,none,none,none,none,none,none
462,none,none,none,none,none,none,none,none,none,none
463,none,none,none,none,none,none,none,none,none,none
464,none,none,none,none,none,none,none,none,none,none
465,none,none,none,none,none,none,none,none,none,none
466,none,none,none,none,none,none,none,none,none,none
467,none,none,none,none,none,none,none,none,none,none
468,none,none,none,none,none,none,none,none,none,none
469,none,none,none,none,none,none,none,none,none,none
470,none,none,none,none,none,none,none,none,none,none
471,none,none,none,none,none,none,none,none,none,none
472,none,none,none,none,none,none,none,none,none,none
473,none,none,none,none,none,none,none,none,none,none
474,none,none,none,none,none,none,none,none,none,none
475,none,none,none,none,none,none,none,none,none,none
476,none,none,none,none,none,none,none,none,none,none
477,none,none,none,none,none,none,none,none,none,none
478,none,none,none,none,none,none,none,none,none,none
479,none,none,none,none,none,none,none,none,none,none
480,none,none,none,none,none,none,none,none,none,none
481,none,none,none,none,none,none,none,none,none,none
482,none,none,none,none,none,none,none,none,none,none
483,none,none,none,none,none,none,none,none,none,none
484,none,none,none,none,none,none,none,none,none,none
485,none,none,none,none,none,none,none,none,none,none
486,none,none,none,none,none,none,none,none,none,none
